Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
216,SparseOPT-66B,"Elias Frantar, Dan Alistarh",2023/01/02,2023,SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot,8.0,,https://arxiv.org/abs/2301.00774,3.30E+10,,,1.666666667,,,1.0,180000000000.0,5.94E+22,0.0,180000000000.0,,9.32,,,1.0,0.0,0,0,Transformer,OPT,https://github.com/IST-DASLab/sparsegpt,,,,1,,,"Architecture: Transformer based language models (GPT family); Optimizer: Not mentioned (one-shot pruning, so no explicit optimizer is used); LR Schedule: Not mentioned (one-shot pruning, so no explicit learning rate schedule is used); Training: One-shot pruning (no retraining or fine-tuning); Attention: Not explicitly mentioned, but assumed to be standard multi-head attention from the base Transformer architecture; Regularization: Not mentioned; Special Algorithms: SparseGPT: A pruning method which reduces the pruning problem to a set of extremely large-scale instances of sparse regression. It then solves these instances via a new approximate sparse regression solver., Iterative OBS updates; Initialization: Weights are initialized according to the pre-trained base model (OPT); Other: Layer-wise pruning, Adaptive mask selection, Hessian synchronization, Weight freezing interpretation (column-wise greedy scheme), Extension to Semi-Structured Sparsity",,,,,,,,,,
217,Adversarial + AWD-LSTM-MoS + partial shuffled,"Dilin Wang, Chengyue Gong, Qiang Liu",2019/06/10,2019,Improving Neural Language Modeling via Adversarial Training,95.0,,https://arxiv.org/abs/1906.03805,2.20E+07,,,450,,,0.0,923000.0,5.48E+16,,923000.0,Penn TreeBank,,,46.01,0.0,1.0,0,0,Recurrent/Convolutional,QRNN,https://github.com/ChengyueGongR/advsoft,,,,1,?,?,"Architecture: AWD-LSTM (3-layer LSTM) for PTB and WT2, Quasi-Recurrent Neural Networks (QRNN) for WT103, Transformer for machine translation; Optimizer: SGD and averaged SGD (ASGD) for AWD-LSTM, Adam for Transformer; LR Schedule: Learning rate warm-up strategy for Transformer, Restarting ASGD for fine-tuning; Training: Minimax training strategy, Adversarial training by injecting adversarial perturbation on the word embedding vectors in the softmax layer; Attention: Not applicable, although transformer architecture is used for machine translation; Special Algorithms: Adversarial Softmax; Initialization: Not mentioned; Other: Weight-tying trick",,,,,,,,,,
218,TransformerXL + spectrum control,"Lingxiao Wang, Jing Huang, Kevin Huang, Ziniu Hu, Guangtao Wang, Quanquan Gu",2020/03/11,2020,Improving Neural Language Generation with Spectrum Control,55.0,,https://openreview.net/forum?id=ByxY8CNtvr,1.51E+08,,4.6e+17,250,,,0.0,103000000.0,2.33E+19,0.0,103000000.0,WikiText-103,23.2,,,0.0,1.0,0,0,Transformer,Transformer-XL,,,,,1,Word-level,260000,,,,,,,,,,,
219,4 layer Densely Connected LSTM,"Fréderic Godin, Joni Dambre, Wesley De Neve",2017/07/19,2017,Improving Language Modeling using Densely Connected Recurrent Neural Networks,7.0,,https://arxiv.org/pdf/1707.06130,1.40E+07,,,100,,,0.0,929000.0,7.80E+15,,929000.0,,,,76.8,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,"Architecture: Densely connected LSTM with a variable number of LSTM layers (2-5). Skip connections are added between every pair of layers. Embedding layer followed by LSTM layers and a fully connected output layer.; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: Training for six epochs with a learning rate of one and then applying a decay factor of 0.95 every epoch.; Training: early stopping; Attention: N/A; Regularization: standard dropout on the output of every layer, gradient clipping (norm of the gradient constrained to three); Special Algorithms: Densely connected layers (skip connections between every pair of layers); Initialization: Weights initialized uniformly in the interval [-0.05;0.05]",,,,,,,,,,
220,Densely Connected LSTM + Var. Dropout,"Fréderic Godin, Joni Dambre, Wesley De Neve",2017/07/19,2017,Improving Language Modeling using Densely Connected Recurrent Neural Networks,7.0,,https://arxiv.org/pdf/1707.06130,2.30E+07,,,100,,,0.0,929000.0,1.28E+16,,929000.0,,,,78.3,0.0,1.0,0,0,Recurrent,,,,,,1,Word-level,10000,"Architecture: Densely connected LSTM network where every input of every layer is connected with every output of every other layer using skip connections. Baseline is a stacked LSTM.; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: Training for six epochs with a learning rate of one and then applying a decay factor of 0.95 every epoch.; Training: Early stopping, Batch size of 20, Sequence length of 35; Attention: N/A; Regularization: Dropout on the output of every layer (dropout probability of 0.6 for models with size 200 and 0.75 for models with hidden state size 650). Gradient clipping (norm constrained to three); Initialization: Weights initialized uniformly in the interval [-0.05;0.05]; Other: Skip connections",,,,,,,,,,
221,AWD-LSTM-MoS+PDR + dynamic evaluation (PTB),Siddhartha Brahma,2018/08/14,2018,Improved Language Modeling by Decoding the Past,5.0,,https://arxiv.org/abs/1808.05908,2.20E+07,,,1200,,,0.0,888000.0,1.41E+17,,888000.0,Penn TreeBank,,,47.3,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,"Architecture: 3-layer LSTM with 1150, 1150, and 400 hidden dimensions for single softmax model and 960, 960 and 620 for mixture-of-softmaxes on PTB; 3-layer LSTM with 1150, 1150 and 650 for mixture-of-softmaxes on WT2. For PTBC, a 3-layer LSTM with 1000, 1000 and 200 hidden dimensions. For Enwik8, a LSTM with 1850, 1850 and 400 hidden dimensions.; Optimizer: Combination of SGD and NT-ASGD, followed by finetuning; LR Schedule: Adopted from original AWD-LSTM and AWD-LSTM-MoS; Attention: Not applicable; Regularization: Variational dropout on token embeddings, Dropout on hidden-to-hidden weights in LSTM, Norm regularization on the outputs of the LSTM, Classical dropout, Past Decode Regularization (PDR); Special Algorithms: Past Decode Regularization (PDR); Initialization: Not mentioned; Other: Weight tying",,,,,,,,,,
222,KnGPT2,"Ali Edalati, Marzieh Tahaei, Ahmad Rashid, Vahid Partovi Nia, James J. Clark, Mehdi Rezagholizadeh",2021/10/15,2021,Kronecker Decomposition for GPT Compression,14.0,,https://web.archive.org/web/20221111092612/https://arxiv.org/pdf/2110.08152.pdf,8.30E+07,4.40E+09,1.24e+20,1,,,0.0,4000000000.0,1.99E+18,400000000.0,4400000000.0,,20.5,,,1.0,0.0,0,0,Transformer,GPT,,University of Lugano; King Abdullah University of Science and Technology,Academia,,1,,,"Architecture: Transformer-based GPT-2 model, with modifications to compress embedding and transformer layers using Kronecker decomposition.  The linear layers of multi-head attention (MHA) and feed-forward network (FFN) blocks are decomposed into Kronecker layers. In half of the layers, Kronecker Decomposition is not applied.; Optimizer: Not explicitly stated in the abstract or introduction. However, based on hyper-parameters used (Table 2), it is likely AdamW, but this needs to be confirmed within the rest of the paper.; LR Schedule: For pre-training and fine-tuning a constant learning rate is used, as can be seen from Table 2.; Training: Knowledge Distillation (KD), Intermediate Layer Knowledge Distillation (ILKD); Attention: Multi-head attention (MHA) within the Transformer architecture.; Special Algorithms: Kronecker decomposition for compressing linear layers; Initialization: Kronecker factors A and B are estimated from the corresponding weight matrix W in the original uncompressed pre-trained model using the solution to the nearest Kronecker problem by rank-1 singular value decomposition (SVD).",,,,,,,,,,
223,AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),Siddhartha Brahma,2018/08/14,2018,Improved Language Modeling by Decoding the Past,5.0,,https://arxiv.org/abs/1808.05908,3.50E+07,,,,,,0.0,2050000.0,0.00E+00,,2050000.0,WikiText-2,,40.3,,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,33000,"Architecture: 3-layer LSTM with varying hidden dimensions (1150, 1150, 400 for single softmax, and 960, 960, 620 or 1150, 1150, 650 for mixture-of-softmaxes); Optimizer: Combination of SGD and NT-ASGD, followed by fine-tuning; LR Schedule: Adopted from AWD-LSTM, details found in Merity et al. (2018a) and Yang et al. (2017).; Attention: Not applicable; Regularization: Variational dropout on token embeddings, Dropout on hidden-to-hidden weights in the LSTM, Norm regularization on the outputs of the LSTM, Classical dropout, Past Decode Regularization (PDR); Special Algorithms: Past Decode Regularization (PDR): a regularization method based on decoding the last token in the context using the predicted distribution of the next token.; Initialization: Not mentioned",,,,,,,,,,
224,Hyena-3-slim,"Michael Poli, Stefano Massaroli, Eric Nguyen, Daniel Y. Fu, Tri Dao, Stephen Baccus, Yoshua Bengio, Stefano Ermon, Christopher Ré",2023/02/21,2023,Hyena Hierarchy: Towards Larger Convolutional Language Models,21.0,,https://arxiv.org/pdf/2302.10866,1.25E+08,,,UNK,,,0.0,103000000.0,#VALUE!,,103000000.0,,18.5,,,0.0,1.0,0,0,Transformer,Hyena,,,,,1,GPT2Tokenizer,50257,"Architecture: Hyena: a recurrence of implicit long convolutions and element-wise multiplicative gating. The convolutions are parametrized using a shallow feed-forward neural network (FFN) applied to a positional encoding of the time step. Order-N Hyena operator is defined by a recurrence with N learnable filters.; Optimizer: AdamW (β1, β2 = 0.9, 0.98); LR Schedule: cosine decay; Training: positional encoding, FFT convolution for efficiency, weight decay, dropout, data augmentations such as RandAugment, Mixup, and AugMix for ImageNet; Attention: N/A; Regularization: weight decay, dropout; Special Algorithms: implicit parameterization of long convolutions with shallow FFNs, Hyena recurrence; Initialization: Truncated normal for weights; Other: Causal convolutions, Window function applied to the filters",,,,,,,,,,
225,GPT-2 (fine-tuned with HYDRA),"Kabir Nagrecha, Arun Kumar",2021/10/16,2021,Hydra: A System for Large Multi-Model Deep Learning,4.0,0.0,https://arxiv.org/abs/2110.08633,1.54E+09,,,1,,,0.0,2080000.0,1.92E+16,,2080000.0,WikiText-2,,15.17,,0.0,1.0,0,0,Transformer,GPT,,,,,1,GPT2Tokenizer,50257,"Architecture: Transformer; Optimizer: Grid search used to compare different learning rates and optimizers.; LR Schedule: Grid search used to compare different learning rates and optimizers. Learning rates used {0.0003, 0.0001, 0.00005, 0.00006, 0.00001, 0.00002}; Training: Gradient checkpointing, Spilled execution scheme: model is sharded, and shards are promoted/demoted between GPU memory and DRAM, Shard Alternator Parallelism (SHARP); Special Algorithms: Shard Alternator Parallelism (SHARP), Sharded-LRTF",,,,,,,,,,
226,Hybrid H3-355M,"Daniel Y. Fu, Tri Dao, Khaled K. Saab, Armin W. Thomas, Atri Rudra, Christopher Ré",2022/12/28,2022,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,27.0,,https://arxiv.org/pdf/2212.14052,3.55E+08,,,509.02,,,0.0,103000000.0,1.12E+20,,103000000.0,,16.9,,,0.0,1.0,0,0,State Space Model,H3,https://github.com/HazyResearch/H3,,,,1,GPT 2 tokenizer,50257,"Architecture: Hybrid H3-attention model with H3 layers interleaved with MLPs, connected by residual connections and layer norm (pre-norm architecture). H3 layer stacks two discrete SSMs with shift and diagonal matrices. The number of heads varies depending on the model size: 125M (12 heads), 355M (16 heads), 1.3B (16 heads), and 2.7B (20 heads); Optimizer: AdamW; LR Schedule: Cosine schedule with linear warmup (8000 steps), decay the learning rate to 10% by 300B tokens, then continue training at 10% learning rate for another 100B tokens (only for models trained on the Pile); Training: Mixed precision training (bf16 for MLPs and attention, fp32 for FFTConv), Gradient accumulation (used to fit into GPU memory); Attention: Self-attention layers (two layers retained in hybrid H3-attention model) at different positions depending on the model size. For the 125M hybrid model, the attention layers were at layers 1 and 7, the 355M and 1.3B hybrid models had attention layers at layers 1 and 13, and the 2.7B hybrid model had attention layers at layers 10 and 21.; Regularization: Weight decay 0.1, Residual dropout 0.0 (only used for models trained on the Pile), Embedding dropout 0.1 (only used for models trained on the Pile); Special Algorithms: FLASHCONV: Hierarchical algorithm for computing SSMs, inspired by IO-Aware attention, Block FFT, State-passing algorithm; Initialization: Diagonal version of HiPPO for the diagonal SSM (S4D initialization); Other: Discrete SSM (based on shift matrix), Multiplicative interaction (between output projections and inputs)",,,,,,,,,,
227,Hybrid H3-125M,"Daniel Y. Fu, Tri Dao, Khaled K. Saab, Armin W. Thomas, Atri Rudra, Christopher Ré",2022/12/28,2022,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,27.0,,https://arxiv.org/pdf/2212.14052,1.25E+08,,,509.02,,,0.0,103000000.0,3.93E+19,,103000000.0,,23.7,,,0.0,1.0,0,0,State Space Model,H3,https://github.com/HazyResearch/H3,,,,1,GPT 2 tokenizer,50257,"Architecture: Hybrid H3-attention model. H3 stacks two discrete SSMs with shift and diagonal matrices, along with multiplicative operations against projections of the input. It interleaves H3 layers with MLPs, connected by residual connection and layer norm (pre-norm architecture).; Optimizer: AdamW; LR Schedule: cosine schedule with linear warmup, decay the learning rate to 10% by a certain number of tokens, then continue training at 10% learning rate for another a certain number of tokens.; Training: mixed-precision training, gradient accumulation, kernel fusion, block FFT, state passing algorithm, Layer Normalization, Residual Connection, mixed-precision training with bf16 for the MLPs and attention. fp32 for the FFTConv; Attention: Hybrid model retains two self-attention layers; Regularization: weight decay, embedding dropout, residual dropout, L2 regularization, dropout; Special Algorithms: FLASHCONV, State Passing Algorithm; Initialization: Diagonal SSM constrains A to be diagonal and initializes it from the diagonal version of HiPPO (S4D).; Other: H3 Layer: discrete SSM (based on shift matrix) and multiplicative interaction",,,,,,,,,,
228,Hybrid H3-2.7B,"Daniel Y. Fu, Tri Dao, Khaled K. Saab, Armin W. Thomas, Atri Rudra, Christopher Ré",2022/12/28,2022,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,27.0,,https://arxiv.org/pdf/2212.14052,2.70E+09,,,509.02,,,0.0,103000000.0,8.49E+20,,103000000.0,,10.6,,,0.0,1.0,0,0,State Space Model,H3,https://github.com/HazyResearch/H3,,,,1,GPT 2 tokenizer,50257,"Architecture: Hybrid H3-attention model: H3 layers interleaved with MLPs, connected by residual connection and layer norm (i.e., pre-norm architecture). Two attention layers are retained in the hybrid model.; Optimizer: AdamW; LR Schedule: Cosine schedule with linear warmup.; Training: Mixed-precision training (bf16 for MLPs and attention, fp32 for FFTConv), Gradient accumulation, Kernel Fusion, Block FFT, State-passing algorithm; Attention: Self-attention layers (number of heads varies by model size); Regularization: Weight decay, Embedding dropout, Residual dropout, L2-regularisation; Special Algorithms: H3 layer: stacks two discrete SSMs with shift and diagonal matrices, with multiplicative interactions between their outputs and input projections.; Initialization: Diagonal version of HiPPO (S4D) for the diagonal SSM in the H3 layer.; Other: FLASHCONV: a hierarchical algorithm for computing SSMs inspired by IO-Aware attention.",,,,,,,,,,
229,Hybrid H3-1.3B,"Daniel Y. Fu, Tri Dao, Khaled K. Saab, Armin W. Thomas, Atri Rudra, Christopher Ré",2022/12/28,2022,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,27.0,,https://arxiv.org/pdf/2212.14052,1.30E+09,,,509.02,,,0.0,103000000.0,4.09E+20,,103000000.0,,12.5,,,0.0,1.0,0,0,State Space Model,H3,https://github.com/HazyResearch/H3,,,,1,GPT 2 tokenizer,50257,"Architecture: Hybrid H3-attention model. H3 stacks two discrete SSMs with shift and diagonal matrices, and uses multiplicative interactions between input projections and their outputs. Interleaved with MLPs, connected by residual connection and layer norm (i.e., pre-norm architecture). Keeps two self-attention layers in some configurations.; Optimizer: AdamW; LR Schedule: Cosine schedule with linear warmup and decay to 10% of the initial rate.; Training: Mixed-precision training (bf16 for MLPs and attention, fp32 for FFTConv), Gradient accumulation; Attention: Self-attention layers in hybrid models.; Regularization: Weight decay 0.1, Residual dropout 0.0, Embedding dropout 0.1 (used in some configurations), Dropout rate varied 0.1-0.3 for some fMRI data configurations; Special Algorithms: FLASHCONV: Hierarchical algorithm for computing SSMs. Uses fused block FFTConv inspired by IO-Aware attention. New state-passing algorithm over fused block FFTConv to increase hardware efficiency., Block FFT; Initialization: Diagonal version of HiPPO (S4D) for diagonal SSMs.; Other: Use of layer normalization (pre-norm architecture)",,,,,,,,,,
